r,y
0.5,0
0.500023,0.0327937
0.500095,0.0655872
0.50022,0.0983805
0.500403,0.131173
0.50065,0.163966
0.500967,0.196758
0.501362,0.229549
0.501842,0.262339
0.502417,0.295128
0.503099,0.327914
0.503901,0.360698
0.504836,0.393478
0.505924,0.426254
0.507186,0.459023
0.508646,0.491784
0.510335,0.524534
0.512292,0.557269
0.51456,0.589984
0.517199,0.622671
0.520279,0.655319
0.523893,0.687912
0.52816,0.720426
0.533233,0.752824
0.539318,0.785046
0.546684,0.816999
0.55568,0.84853
0.566745,0.879392
0.580363,0.909211
0.596934,0.937491
0.616544,0.963754
0.638789,0.987833
0.662876,1.01008
0.687918,1.03125
0.713133,1.05222
0.737882,1.07373
0.761633,1.09634
0.783949,1.12036
0.804474,1.14592
0.823072,1.17292
0.839905,1.20106
0.855144,1.2301
0.868934,1.25985
0.881395,1.29018
0.892626,1.32099
0.902708,1.35219
0.911709,1.38372
0.919684,1.41553
0.926681,1.44757
0.932735,1.4798
0.937878,1.51218
0.942131,1.5447
0.945514,1.57732
0.948038,1.61001
0.949712,1.64276
0.950538,1.67554
0.950517,1.70834
0.949642,1.74112
0.947904,1.77386
0.94529,1.80655
0.941783,1.83916
0.937361,1.87165
0.931997,1.904
0.92566,1.93617
0.918315,1.96813
0.909921,1.99983
0.900432,2.03122
0.889799,2.06224
0.877964,2.09282
0.864871,2.12289
0.850456,2.15234
0.834657,2.18107
0.817421,2.20897
0.798741,2.23591
0.778636,2.26182
0.75715,2.28659
0.734339,2.31014
0.71028,2.33242
0.685059,2.35337
0.658773,2.37297
0.631525,2.39122
0.603418,2.4081
0.574551,2.42366
0.545022,2.43791
0.51492,2.45092
0.484326,2.46272
0.453315,2.47338
0.42195,2.48295
0.390291,2.49149
0.358384,2.49906
0.326275,2.50573
0.294001,2.51153
0.261593,2.51654
0.229077,2.5208
0.196477,2.52435
0.163812,2.52725
0.131099,2.52954
0.0983507,2.53125
0.0655787,2.53243
0.0327926,2.53311
3.14563e-15,2.53333
0,2.53333
